"","churned","DispatchDay_1","Cust_Type","Cust_age","Total_Call_revenue","mean_time_to_resolve"
"312","1",1904,"1",591,2900.28,5.4
"313","1",2118,"3",51,827.85,0.2
"314","1",1644,"1",611,3902.38,0.6
"315","1",2169,"3",86,2258,0.2
"316","1",2137,"1",659,1517.86,0.2
"317","0",1205,"1",938,2405,0.6
"318","1",2140,"1",777,1116.91,0
"319","0",1711,"1",910,1375.34,0.333333333333333
"320","0",1466,"1",376,3439.14,1
"321","0",1253,"2",286,1349.06,5.4
"322","0",1381,"1",818,2478.27,0.2
"323","0",1765,"1",670,2121.95,0.4
"324","0",1869,"1",773,1155.18,0
"325","0",2222,"1",1126,1413.09,0.2
"326","0",1161,"1",1059,1257.78,0.2
"327","0",2069,"1",972,1200.78,0.2
"328","0",1285,"1",1070,490.45,0.2
"329","0",1099,"1",574,1989.82,0.2
"330","0",1105,"1",1115,1519.75,0
"331","0",1105,"1",1010,2150.71,0
"332","0",1106,"1",561,3653,0
"333","0",1106,"1",368,1256,1.4
"334","0",1106,"3",363,1833.07,2.2
"335","0",2087,"1",976,5657.58,0.4
"336","0",1582,"1",915,2108.5,0
"337","0",1428,"1",573,852.51,0.2
"338","0",1228,"3",873,2751.22,0.4
"339","0",1442,"3",323,1606.79,1
"340","0",1331,"1",772,3566.52,0.4
"341","0",1435,"1",344,2510.17,1.2
"342","0",1123,"1",690,1871.74,1.2
"343","1",2199,"1",1076,2413.32,1
"344","0",1126,"3",413,2139.67,0
"345","0",1128,"1",1082,1990.97,4
"346","0",1129,"2",695,2916.03,0
"347","0",1651,"1",602,1707,0.2
"348","0",1408,"2",362,1366.17,1.8
"349","0",1136,"1",720,1256.89,0.2
"350","0",1140,"3",815,998.86,0
"351","0",2208,"3",1068,3238.06,0
"352","1",1143,"3",1000,1779.67,0.2
"353","0",1145,"1",246,1092.28,0.8
"354","0",1146,"1",986,1807.11,0
"355","0",1147,"1",619,4149.78,0.2
"356","0",1155,"2",334,4741.01,2
"357","0",1989,"2",841,2540.96,0.4
"358","1",1149,"1",833,2302.85,0
"359","0",1459,"2",953,1323.23,1
"360","0",1610,"1",459,1214.92,0.2
"361","0",1196,"1",349,658.5,0.2
